Date,Zone_No,Zone_Name,Confirmed_cases,Recovered,Hospitalized,Deceased
 2020-04-23,IX,TEYNAMPET,45,7,38,0
 2020-04-23,X,KODAMBAKKAM,36,16,20,0
 2020-04-23,XI,VALASARAVAKKAM,13,4,9,0
 2020-04-23,XII,ALANDUR,9,2,7,0
 2020-04-23,XIII,ADYAR,10,4,6,0
 2020-04-23,XIV,PERUNGUDI,8,3,5,0
 2020-04-23,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-24,I,THIRUVOTTIYUR,13,4,9,0
 2020-04-24,II,MANALI,1,0,1,0
 2020-04-24,III,MADHAVARAM,3,3,0,0
 2020-04-24,IV,TONDIARPET,59,14,44,1
 2020-04-24,V,ROYAPURAM,133,28,100,5
 2020-04-24,VI,THIRU VI KA NAGAR,55,25,28,2
 2020-04-24,VII,AMBATTUR,1,0,1,0
 2020-04-24,VIII,ANNA NAGAR,39,15,21,3
 2020-04-24,IX,TEYNAMPET,53,8,45,0
 2020-04-24,X,KODAMBAKKAM,52,17,35,0
 2020-04-24,XI,VALASARAVAKKAM,13,4,9,0
 2020-04-24,XII,ALANDUR,9,2,7,0
 2020-04-24,XIII,ADYAR,10,4,6,0
 2020-04-24,XIV,PERUNGUDI,8,4,4,0
 2020-04-24,XV,SOZHINGANALLUR,2,2,0,0
 2020-04-25,I,THIRUVOTTIYUR,14,4,10,0
 2020-04-25,II,MANALI,1,0,1,0
 2020-04-25,III,MADHAVARAM,3,3,0,0
 2020-04-25,IV,TONDIARPET,64,15,48,1
 2020-04-25,V,ROYAPURAM,137,38,94,5
 2020-04-25,VI,THIRU VI KA NAGAR,80,26,52,2
 2020-04-25,VII,AMBATTUR,2,0,2,0
 2020-04-25,VIII,ANNA NAGAR,43,15,25,3
 2020-04-25,IX,TEYNAMPET,54,13,41,0
 2020-04-25,X,KODAMBAKKAM,53,18,35,0
 2020-04-25,XI,VALASARAVAKKAM,14,5,9,0
 2020-04-25,XII,ALANDUR,9,2,7,0
 2020-04-25,XIII,ADYAR,10,4,6,0
 2020-04-25,XIV,PERUNGUDI,8,6,2,0
 2020-04-25,XV,SOZHINGANALLUR,2,2,0,0
 2020-04-26,I,THIRUVOTTIYUR,14,4,10,0
 2020-04-26,II,MANALI,1,0,1,0
 2020-04-26,III,MADHAVARAM,3,3,0,0
 2020-04-26,IV,TONDIARPET,65,15,49,1
 2020-04-26,V,ROYAPURAM,145,40,100,5
 2020-04-26,VI,THIRU VI KA NAGAR,85,26,56,3
 2020-04-26,VII,AMBATTUR,2,0,2,0
 2020-04-26,VIII,ANNA NAGAR,45,18,24,3
 2020-04-26,IX,TEYNAMPET,55,13,42,0
 2020-04-26,X,KODAMBAKKAM,54,19,35,0
 2020-04-26,XI,VALASARAVAKKAM,17,5,12,0
 2020-04-26,XII,ALANDUR,9,2,7,0
 2020-04-26,XIII,ADYAR,17,4,13,0
 2020-04-26,XIV,PERUNGUDI,8,7,1,0
 2020-04-26,XV,SOZHINGANALLUR,2,2,0,0
